index,method,mean,std
0,classical_proposed,0.7574089262515618,0.08241868033652318
1,fixed_2g_6l,0.2635786493312184,0.07422617473617639
2,fixed_4g_4l,0.23987366175322278,0.09196922051844199
3,fixed_6g_2l,0.21838506725829868,0.06293428591427766
4,global_only,0.3217704977340503,0.09712021123378843
5,lesion_size_only,0.5213850609939168,0.06350759017545629
6,local_only,0.25507221562470267,0.07204436938641201
7,proposed_lsa_glqie,0.2467297189791836,0.074880732428084
8,random_allocation,0.26154132130024105,0.07518673329977399
9,shuffled_size_allocation,0.2650351668494951,0.07222489696412228
10,svm_classical_proposed,0.848567081583609,0.029571805724611808
0,classical_proposed,0.763422122062473,0.09173189429195594
1,fixed_2g_6l,0.3471648689192549,0.05054980375691328
2,fixed_4g_4l,0.3302932788459104,0.06715880614137186
3,fixed_6g_2l,0.31149101872786084,0.03401249380230327
4,global_only,0.3765351623684957,0.07105033293417863
5,lesion_size_only,0.5791043069990439,0.03960093904168592
6,local_only,0.3299753446683271,0.05168049005809113
7,proposed_lsa_glqie,0.3342512052599772,0.04157596903304345
8,random_allocation,0.3564360395939343,0.04711864897362511
9,shuffled_size_allocation,0.3401163213005318,0.056268309768958615
10,svm_classical_proposed,0.8639554159291001,0.029748353587325794
0,classical_proposed,0.9113581136415327,0.03765537492840376
1,fixed_2g_6l,0.5226343697689615,0.05176987144058778
2,fixed_4g_4l,0.5083922667844013,0.07218742830744641
3,fixed_6g_2l,0.4720702173598141,0.04668508138095718
4,global_only,0.5366651643473505,0.06334843934750474
5,lesion_size_only,0.7238998259685497,0.06019111238344221
6,local_only,0.509275825123068,0.05006675081160801
7,proposed_lsa_glqie,0.5171760107929553,0.04716721239165031
8,random_allocation,0.5063782631046673,0.06467924026633405
9,shuffled_size_allocation,0.5345093645458181,0.05888175696834821
10,svm_classical_proposed,0.9530571981122726,0.01497132644456712
0,classical_proposed,0.8302838770895831,0.07829770710597643
1,fixed_2g_6l,0.4130166181880729,0.04637620195699333
2,fixed_4g_4l,0.3795189233449387,0.06140169684012737
3,fixed_6g_2l,0.36821478611267905,0.03163965434855557
4,global_only,0.4092412913686081,0.04804770903615482
5,lesion_size_only,0.5883463642325726,0.07892099417640676
6,local_only,0.3866999811004701,0.040297719295771646
7,proposed_lsa_glqie,0.3814604823367077,0.029495131101592676
8,random_allocation,0.39580236647623257,0.057938240922838655
9,shuffled_size_allocation,0.40835115884600726,0.05323054291194852
10,svm_classical_proposed,0.8953688649218934,0.03032539806127222
