seed,fold,method,patient_class_1_recall,patient_class_1_f1,patient_class_2_recall,patient_class_2_f1,patient_class_3_recall,patient_class_3_f1
11,1,global_only,0.55,0.55,0.375,0.41379310344827586,0.5454545454545454,0.48
11,1,local_only,0.45,0.4,0.4375,0.3888888888888889,0.0,0.0
11,1,fixed_4g_4l,0.05,0.09090909090909091,0.9375,0.4918032786885246,0.0,0.0
11,1,random_allocation,0.65,0.5777777777777777,0.1875,0.2727272727272727,0.36363636363636365,0.2962962962962963
11,1,proposed_lsa_glqie,0.35,0.35,0.375,0.4,0.18181818181818182,0.16666666666666666
11,1,classical_proposed,0.8,0.7441860465116279,0.625,0.6896551724137931,0.45454545454545453,0.45454545454545453
11,1,fixed_2g_6l,0.95,0.6333333333333333,0.125,0.19047619047619047,0.0,0.0
11,1,fixed_6g_2l,0.0,0.0,0.875,0.45901639344262296,0.0,0.0
11,1,shuffled_size_allocation,0.55,0.4230769230769231,0.0625,0.1,0.2727272727272727,0.2727272727272727
11,1,lesion_size_only,0.3,0.3870967741935484,0.625,0.6060606060606061,0.7272727272727273,0.5333333333333333
11,1,svm_classical_proposed,0.75,0.8333333333333334,0.8125,0.7878787878787878,0.9090909090909091,0.8
11,2,global_only,0.3888888888888889,0.42424242424242425,0.5384615384615384,0.45161290322580644,0.375,0.4
11,2,local_only,0.05555555555555555,0.10526315789473684,1.0,0.4406779661016949,0.0,0.0
11,2,fixed_4g_4l,0.05555555555555555,0.10526315789473684,0.9230769230769231,0.42105263157894735,0.0,0.0
11,2,random_allocation,0.05555555555555555,0.10526315789473684,1.0,0.4406779661016949,0.0,0.0
11,2,proposed_lsa_glqie,0.05555555555555555,0.10526315789473684,1.0,0.4482758620689655,0.0,0.0
11,2,classical_proposed,0.7222222222222222,0.8125,0.8461538461538461,0.8461538461538461,0.9375,0.8333333333333334
11,2,fixed_2g_6l,0.2777777777777778,0.38461538461538464,0.7692307692307693,0.39215686274509803,0.0,0.0
11,2,fixed_6g_2l,0.1111111111111111,0.17391304347826086,1.0,0.4727272727272727,0.0,0.0
11,2,shuffled_size_allocation,0.05555555555555555,0.10526315789473684,1.0,0.45614035087719296,0.0,0.0
11,2,lesion_size_only,0.0,0.0,0.7692307692307693,0.6896551724137931,1.0,0.6808510638297872
11,2,svm_classical_proposed,0.6111111111111112,0.7586206896551724,1.0,0.9285714285714286,1.0,0.8648648648648649
11,3,global_only,0.42857142857142855,0.46153846153846156,0.7894736842105263,0.5769230769230769,0.0,0.0
11,3,local_only,0.21428571428571427,0.2727272727272727,0.3157894736842105,0.32432432432432434,0.38461538461538464,0.30303030303030304
11,3,fixed_4g_4l,0.6428571428571429,0.5,0.2631578947368421,0.37037037037037035,0.46153846153846156,0.41379310344827586
11,3,random_allocation,0.5,0.358974358974359,0.05263157894736842,0.1,0.5384615384615384,0.42424242424242425
11,3,proposed_lsa_glqie,0.6428571428571429,0.47368421052631576,0.21052631578947367,0.2857142857142857,0.3076923076923077,0.3076923076923077
11,3,classical_proposed,0.6428571428571429,0.6923076923076923,0.9473684210526315,0.9473684210526315,0.6923076923076923,0.6428571428571429
11,3,fixed_2g_6l,0.14285714285714285,0.2222222222222222,0.9473684210526315,0.5901639344262295,0.0,0.0
11,3,fixed_6g_2l,0.35714285714285715,0.29411764705882354,0.0,0.0,0.38461538461538464,0.2857142857142857
11,3,shuffled_size_allocation,0.2857142857142857,0.32,0.42105263157894735,0.48484848484848486,0.6923076923076923,0.5294117647058824
11,3,lesion_size_only,0.35714285714285715,0.4166666666666667,0.5263157894736842,0.625,0.8461538461538461,0.6111111111111112
11,3,svm_classical_proposed,0.8571428571428571,0.8,0.9473684210526315,0.972972972972973,0.7692307692307693,0.8
11,4,global_only,0.3684210526315789,0.3684210526315789,0.06666666666666667,0.09523809523809523,0.38461538461538464,0.2857142857142857
11,4,local_only,0.7368421052631579,0.6363636363636364,0.2,0.25,0.46153846153846156,0.46153846153846156
11,4,fixed_4g_4l,0.3157894736842105,0.3157894736842105,0.3333333333333333,0.35714285714285715,0.23076923076923078,0.21428571428571427
11,4,random_allocation,0.5263157894736842,0.43478260869565216,0.06666666666666667,0.10526315789473684,0.38461538461538464,0.3448275862068966
11,4,proposed_lsa_glqie,0.631578947368421,0.5106382978723404,0.4,0.3870967741935484,0.0,0.0
11,4,classical_proposed,0.7368421052631579,0.717948717948718,0.8,0.8571428571428571,0.6153846153846154,0.5925925925925926
11,4,fixed_2g_6l,0.5789473684210527,0.5116279069767442,0.4,0.35294117647058826,0.07692307692307693,0.11764705882352941
11,4,fixed_6g_2l,0.05263157894736842,0.08,0.8,0.43636363636363634,0.07692307692307693,0.14285714285714285
11,4,shuffled_size_allocation,0.5789473684210527,0.5116279069767442,0.6,0.5294117647058824,0.07692307692307693,0.11764705882352941
11,4,lesion_size_only,0.5263157894736842,0.5882352941176471,0.4,0.5454545454545454,1.0,0.6842105263157895
11,4,svm_classical_proposed,0.7368421052631579,0.8484848484848485,1.0,0.9375,1.0,0.896551724137931
11,5,global_only,0.6363636363636364,0.6086956521739131,0.4230769230769231,0.5641025641025641,0.5555555555555556,0.3333333333333333
11,5,local_only,0.5454545454545454,0.34285714285714286,0.11538461538461539,0.1935483870967742,0.3333333333333333,0.23076923076923078
11,5,fixed_4g_4l,0.2727272727272727,0.21428571428571427,0.11538461538461539,0.18181818181818182,0.6666666666666666,0.3870967741935484
11,5,random_allocation,0.5454545454545454,0.4444444444444444,0.23076923076923078,0.34285714285714286,0.6666666666666666,0.4
11,5,proposed_lsa_glqie,0.18181818181818182,0.18181818181818182,0.07692307692307693,0.13793103448275862,0.8888888888888888,0.3902439024390244
11,5,classical_proposed,0.9090909090909091,0.8333333333333334,0.7692307692307693,0.8695652173913043,0.8888888888888888,0.7272727272727273
11,5,fixed_2g_6l,0.6363636363636364,0.4117647058823529,0.3076923076923077,0.45714285714285713,0.4444444444444444,0.34782608695652173
11,5,fixed_6g_2l,0.45454545454545453,0.2857142857142857,0.3076923076923077,0.3902439024390244,0.1111111111111111,0.125
11,5,shuffled_size_allocation,0.0,0.0,0.19230769230769232,0.29411764705882354,0.7777777777777778,0.3684210526315789
11,5,lesion_size_only,0.09090909090909091,0.125,0.6153846153846154,0.6956521739130435,0.8888888888888888,0.5333333333333333
11,5,svm_classical_proposed,0.8181818181818182,0.782608695652174,0.8846153846153846,0.9387755102040817,0.8888888888888888,0.8
22,1,global_only,0.45,0.42857142857142855,0.3125,0.35714285714285715,0.2727272727272727,0.25
22,1,local_only,0.5,0.47619047619047616,0.375,0.3076923076923077,0.0,0.0
22,1,fixed_4g_4l,0.3,0.3157894736842105,0.1875,0.17142857142857143,0.2727272727272727,0.2857142857142857
22,1,random_allocation,0.8,0.5333333333333333,0.125,0.2,0.0,0.0
22,1,proposed_lsa_glqie,0.2,0.27586206896551724,0.625,0.47619047619047616,0.18181818181818182,0.17391304347826086
22,1,classical_proposed,0.8,0.7441860465116279,0.625,0.6896551724137931,0.45454545454545453,0.45454545454545453
22,1,fixed_2g_6l,0.85,0.5862068965517241,0.125,0.17391304347826086,0.0,0.0
22,1,fixed_6g_2l,0.45,0.45,0.375,0.375,0.18181818181818182,0.18181818181818182
22,1,shuffled_size_allocation,0.6,0.4897959183673469,0.125,0.14814814814814814,0.0,0.0
22,1,lesion_size_only,0.3,0.3870967741935484,0.625,0.6060606060606061,0.7272727272727273,0.5333333333333333
22,1,svm_classical_proposed,0.75,0.8333333333333334,0.8125,0.7878787878787878,0.9090909090909091,0.8
22,2,global_only,0.1111111111111111,0.17391304347826086,0.9230769230769231,0.4528301886792453,0.0625,0.1111111111111111
22,2,local_only,0.3888888888888889,0.4375,0.0,0.0,0.75,0.5106382978723404
22,2,fixed_4g_4l,0.0,0.0,0.8461538461538461,0.38596491228070173,0.0,0.0
22,2,random_allocation,0.05555555555555555,0.10526315789473684,0.0,0.0,0.9375,0.5263157894736842
22,2,proposed_lsa_glqie,0.2222222222222222,0.25,0.07692307692307693,0.09090909090909091,0.4375,0.35
22,2,classical_proposed,0.6666666666666666,0.75,0.9230769230769231,0.9230769230769231,0.9375,0.8333333333333334
22,2,fixed_2g_6l,0.05555555555555555,0.09523809523809523,0.8461538461538461,0.38596491228070173,0.0,0.0
22,2,fixed_6g_2l,0.0,0.0,0.0,0.0,1.0,0.5079365079365079
22,2,shuffled_size_allocation,0.05555555555555555,0.10526315789473684,1.0,0.4482758620689655,0.0,0.0
22,2,lesion_size_only,0.0,0.0,0.7692307692307693,0.5882352941176471,0.9375,0.7142857142857143
22,2,svm_classical_proposed,0.6111111111111112,0.7333333333333333,0.9230769230769231,0.8888888888888888,1.0,0.8648648648648649
22,3,global_only,0.7142857142857143,0.5,0.3684210526315789,0.3888888888888889,0.07692307692307693,0.125
22,3,local_only,0.42857142857142855,0.3870967741935484,0.5263157894736842,0.43478260869565216,0.0,0.0
22,3,fixed_4g_4l,0.8571428571428571,0.5,0.21052631578947367,0.3333333333333333,0.3076923076923077,0.4
